date,return_historical_best,return_online_conservative,return_csi300,net_value_historical_best,net_value_online_conservative,net_value_csi300,drawdown_historical_best,drawdown_online_conservative,drawdown_csi300
2019-08-30,-0.0094938694,-0.0169468459,0.0024800894,1.1404005663,1.0943862715,1.2795222148,-0.0749772311,-0.1578622664,-0.0779062405
2019-09-02,0.0058318241,0.0099759656,0.0128258710,1.1470511818,1.1053038313,1.2959332017,-0.0695826610,-0.1494611293,-0.0660795849
2019-09-03,0.0019572046,0.0006044201,0.0013748860,1.1492961956,1.1059718992,1.2977149621,-0.0677616439,-0.1489470465,-0.0647955508
2019-09-04,-0.0052577892,-0.0001665764,0.0084053654,1.1432534385,1.1057876704,1.3086227305,-0.0726631567,-0.1490888118,-0.0569348157
2019-09-05,0.0025350532,0.0060803992,0.0101188857,1.1461516468,1.1125113009,1.3218645343,-0.0703123085,-0.1439149321,-0.0473920469
2019-09-06,0.0082329087,0.0130267523,0.0059062655,1.1555878086,1.1270037101,1.3296718173,-0.0626582746,-0.1327629240,-0.0417656913
2019-09-09,-0.0038038144,-0.0059724406,0.0061899346,1.1511921671,1.1202727474,1.3379023989,-0.0662237486,-0.1379424459,-0.0358342836
2019-09-10,-0.0049233716,-0.0068243671,-0.0034440421,1.1455244203,1.1126275948,1.3332946067,-0.0708210760,-0.1438254431,-0.0391549109
2019-09-11,0.0003433739,-0.0014574311,-0.0073665188,1.1459177634,1.1110060168,1.3234728670,-0.0705020203,-0.1450732586,-0.0462329943
2019-09-12,0.0058348210,0.0097557250,0.0107579987,1.1526039884,1.1218446860,1.3377107864,-0.0650785659,-0.1367328283,-0.0359723701
2019-09-16,-0.0044010742,-0.0075696924,-0.0036914907,1.1475312928,1.1133526668,1.3327726395,-0.0691932245,-0.1432674953,-0.0395310691
2019-09-17,-0.0161974358,-0.0153484787,-0.0168013614,1.1289442284,1.0962643971,1.3103802447,-0.0842699075,-0.1564170359,-0.0556682547
2019-09-18,0.0046581935,0.0014776340,0.0048475799,1.1342030690,1.0978842746,1.3167324177,-0.0800042596,-0.1551705290,-0.0510905311
2019-09-19,0.0023895299,0.0063431334,0.0036569556,1.1369132811,1.1048483010,1.3215476497,-0.0778059023,-0.1498116631,-0.0476204113
2019-09-20,0.0212357086,0.0226433723,0.0028715349,1.1610564402,1.1298657924,1.3253425200,-0.0582224571,-0.1305605320,-0.0448856200
2019-09-23,-0.0080804370,-0.0040097059,-0.0114313998,1.1516745968,1.1253353629,1.3101919998,-0.0658324312,-0.1340467286,-0.0558039143
2019-09-24,-0.0010501700,-0.0072371948,0.0026766660,1.1504651427,1.1171910916,1.3136989461,-0.0668134660,-0.1403138011,-0.0532766168
2019-09-25,0.0030465082,0.0103188981,-0.0077137712,1.1539700442,1.1287192726,1.3035653730,-0.0639705056,-0.1314427868,-0.0605794243
2019-09-26,-0.0012726683,-0.0053344983,-0.0077099279,1.1525014231,1.1226981216,1.2935149779,-0.0651617606,-0.1360761038,-0.0678222893
